date,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,quarter_Quarter1,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing,department_finishing ,department_sweing,day_of_week,month
2015-01-01,8,0.8,1.0225278057728642,-0.02215848132637402,0.7448310176702376,2.323591163707543,0.0,0,0,59.0,0.940725424,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,1,0.75,-1.0235128587375881,-0.07005417934198523,-1.111558380695155,-0.8839424416906332,0.0,0,0,8.0,0.8865,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1
2015-01-01,11,0.8,-0.3356675048270084,-0.11933815845949822,-0.2925630578868935,0.7525542957574158,0.0,0,0,30.5,0.800570492,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,12,0.8,-0.3356675048270084,-0.11933815845949822,-0.2925630578868935,0.7525542957574158,0.0,0,0,30.5,0.800570492,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,6,0.8,0.9985867358911037,0.020878232832580987,-0.820360043696662,0.7525542957574158,0.0,0,0,56.0,0.800381944,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,7,0.8,0.9985867358911037,-0.10823190964428403,0.6356316412958029,0.3597950787698841,0.0,0,0,56.0,0.800125,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,2,0.75,-1.0235128587375881,-0.07005417934198523,-1.111558380695155,-0.8839424416906332,0.0,0,0,8.0,0.755166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1
2015-01-01,3,0.75,1.1993233987458645,-0.2394244737740017,0.6902313294830202,0.588904622012611,0.0,0,0,57.5,0.753683478,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,2,0.75,0.4433380767102746,-0.2824611879329567,0.4172328885469331,0.22887533977404018,0.0,0,0,55.0,0.753097531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,1,0.75,1.1993233987458645,-0.3185564965824028,0.6902313294830202,0.588904622012611,0.0,0,0,57.5,0.750427826,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,9,0.7,1.1993233987458645,-0.1859756513507834,0.6902313294830202,0.5561746872636499,0.0,0,0,57.5,0.721126957,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,10,0.75,0.3917726954264826,-0.3900529733303442,0.5628320570461796,0.588904622012611,0.0,0,0,54.0,0.712205247,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,5,0.8,-0.3356675048270084,-0.32758032374476437,-0.2925630578868935,0.7525542957574158,0.0,0,0,30.5,0.707045902,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,10,0.65,-1.0235128587375881,-0.07005417934198523,-1.111558380695155,-0.8839424416906332,0.0,0,0,8.0,0.705916667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1
2015-01-01,8,0.75,-1.1192771382646298,-0.07005417934198523,-1.111558380695155,-0.8839424416906332,0.0,0,0,8.0,0.676666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1
2015-01-01,4,0.75,-1.0235128587375881,-0.07005417934198523,-0.7475604594470387,-0.8839424416906332,0.0,0,0,18.0,0.593055556,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1
2015-01-01,7,0.8,-1.1192771382646298,-0.07005417934198523,-1.111558380695155,-0.8839424416906332,0.0,0,0,8.0,0.540729167,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1
2015-01-01,4,0.65,0.7950876418961399,-0.19361119741124314,0.7812308097950493,-0.8839424416906332,0.0,0,0,60.0,0.52118,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
2015-01-01,11,0.7,-1.004175840756166,-0.07005417934198523,-0.9659592121959085,-0.8839424416906332,0.0,0,0,12.0,0.436326389,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1
2015-01-03,4,0.8,-1.004175840756166,-0.07005417934198523,0.5992318491709911,-0.8839424416906332,0.0,0,0,20.0,0.988024691,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1
2015-01-03,11,0.75,-1.1192771382646298,-0.07005417934198523,0.30803351217249825,-0.8839424416906332,0.0,0,0,17.0,0.987880435,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1
2015-01-03,9,0.8,-1.004175840756166,-0.07005417934198523,-1.111558380695155,-0.8839424416906332,0.0,0,0,8.0,0.956270833,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1
2015-01-03,3,0.75,-1.0235128587375881,-0.07005417934198523,-0.9295594200710969,-0.8839424416906332,0.0,0,0,8.0,0.945277778,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1
2015-01-03,1,0.8,-1.0235128587375881,-0.07005417934198523,-1.111558380695155,-0.8839424416906332,0.0,0,0,8.0,0.902916667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1
2015-01-03,1,0.8,1.1993233987458645,-0.2553897064458721,0.5082323688589622,0.7525542957574158,0.0,0,0,56.5,0.800725314,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
2015-01-03,3,0.8,1.1993233987458645,-0.157515888761797,0.5810319531085854,0.7525542957574158,0.0,0,0,54.5,0.800322936,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
2015-01-03,8,0.8,1.0225278057728642,0.08404502296911172,0.7448310176702376,0.7525542957574158,0.0,0,0,59.0,0.800318644,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
2015-01-03,12,0.8,1.0225278057728642,-0.20541158677740823,0.7448310176702376,1.1780434474939085,0.0,0,0,59.0,0.800318644,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
2015-01-03,11,0.8,-0.31725129722565426,-0.0936549580743154,0.7448310176702376,0.7525542957574158,0.0,0,0,29.5,0.800237288,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
2015-01-03,5,0.8,-0.31725129722565426,-0.33382758870332235,0.7448310176702376,0.7525542957574158,0.0,0,0,31.5,0.800148649,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
2015-01-03,6,0.8,0.9985867358911037,0.008383702915465018,0.6356316412958029,0.7525542957574158,0.0,0,0,56.0,0.800125,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
2015-01-03,7,0.8,0.9985867358911037,-0.0013342647978474022,0.6356316412958029,0.3597950787698841,0.0,0,0,56.0,0.800125,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
2015-01-03,10,0.75,0.3917726954264826,-0.36784047569991585,0.5628320570461796,0.9489339042511817,0.0,0,0,54.0,0.787299691,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
2015-01-03,2,0.8,-1.004175840756166,-0.07005417934198523,-1.111558380695155,-0.8839424416906332,0.0,0,0,8.0,0.782447917,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1
